,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,year,month,day,day_of_week,hour
1047,5.0,1553,22.1,1354,358,142,2030,1895,19.1,42.1,0.9233,2004,4,23,5,9
1048,3.2,1423,18.3,1247,245,142,1887,1684,23.7,31.0,0.8968,2004,4,23,5,10
1049,3.8,1458,22.0,1350,240,169,1947,1731,26.9,25.7,0.8942,2004,4,23,5,11
1050,3.3,1349,20.1,1299,179,142,1838,1402,29.7,20.6,0.8478,2004,4,23,5,12
1051,3.0,1326,18.9,1265,160,136,1835,1246,29.2,21.5,0.8573,2004,4,23,5,13
1052,3.2,1356,20.6,1312,174,147,1865,1342,29.6,20.1,0.8181,2004,4,23,5,14
1053,4.4,1460,25.3,1438,260,196,1953,1489,30.0,19.4,0.81,2004,4,23,5,15
1054,4.6,1497,25.8,1449,281,186,1985,1532,29.5,20.1,0.8136,2004,4,23,5,16
1055,5.2,1645,30.6,1566,284,177,2228,1909,27.0,26.8,0.9403,2004,4,23,5,17
1056,4.8,1557,27.1,1483,250,164,2087,1757,24.9,30.8,0.954,2004,4,23,5,18
1057,5.6,1747,32.5,1608,281,161,2335,1983,23.1,36.7,1.0244,2004,4,23,5,19
1058,4.6,1482,20.8,1319,230,146,1975,1703,21.5,40.8,1.0333,2004,4,23,5,20
1059,1.8,1211,10.9,1010,98,98,1619,1246,20.5,41.5,0.9864,2004,4,23,5,21
1060,2.2,1294,13.0,1083,121,108,1687,1321,19.2,44.9,0.9875,2004,4,23,5,22
1061,2.0,1300,11.8,1043,110,107,1659,1375,18.8,47.7,1.0221,2004,4,23,5,23
1062,2.8,1402,13.4,1098,161,113,1729,1456,18.2,49.7,1.0284,2004,4,24,6,0
1063,2.6,1349,13.4,1097,148,100,1763,1442,16.1,57.4,1.0451,2004,4,24,6,1
1064,1.8,1161,9.0,938,109,87,1597,1243,16.3,55.3,1.0178,2004,4,24,6,2
1065,1.1,1022,5.8,802,141,96,1481,1078,15.7,53.6,0.9483,2004,4,24,6,3
1066,1.5,948,3.8,700,45,60,1430,939,16.9,49.8,0.9514,2004,4,24,6,4
1067,0.7,933,3.7,697,71,65,1403,937,14.8,57.7,0.9644,2004,4,24,6,5
1068,0.9,1021,5.7,800,75,64,1483,1019,14.0,59.7,0.9499,2004,4,24,6,6
1069,1.5,1134,10.0,979,106,73,1639,1140,14.6,56.8,0.9385,2004,4,24,6,7
1070,2.5,1311,15.0,1147,166,86,1838,1351,16.7,51.9,0.9788,2004,4,24,6,8
1071,3.0,1409,15.6,1169,188,105,1874,1459,20.0,45.0,1.039,2004,4,24,6,9
1072,2.6,1301,12.3,1059,161,107,1727,1297,23.9,33.7,0.9837,2004,4,24,6,10
1073,2.6,1354,14.4,1130,139,114,1808,1291,26.8,29.5,1.0209,2004,4,24,6,11
1074,2.6,1391,14.6,1136,134,105,1840,1296,27.2,32.4,1.1493,2004,4,24,6,12
1075,1.9,1200,8.7,929,84,74,1623,972,26.9,32.1,1.1217,2004,4,24,6,13
1076,2.0,1338,11.0,1016,98,95,1766,1194,24.3,41.8,1.2561,2004,4,24,6,14
1077,1.7,1223,9.0,938,91,89,1610,880,25.6,36.0,1.1629,2004,4,24,6,15
1078,1.9,1278,10.7,1003,99,95,1691,909,27.0,31.8,1.1176,2004,4,24,6,16
1079,1.8,1257,9.9,973,90,93,1634,839,27.5,31.6,1.1417,2004,4,24,6,17
1080,2.8,1497,15.7,1171,147,123,1899,1248,24.9,38.1,1.1838,2004,4,24,6,18
1081,3.5,1567,19.4,1280,177,134,1970,1476,23.4,39.7,1.1276,2004,4,24,6,19
1082,3.4,1503,16.8,1203,162,126,1863,1502,21.2,50.8,1.2631,2004,4,24,6,20
1083,2.0,1169,6.8,850,88,79,1584,873,15.6,73.5,1.2953,2004,4,24,6,21
1084,1.1,1007,3.0,650,53,54,1404,528,12.9,79.7,1.1774,2004,4,24,6,22
1085,1.3,1004,3.2,667,68,69,1365,492,11.5,76.9,1.0436,2004,4,24,6,23
1086,1.2,967,3.1,661,61,67,1321,463,12.2,66.8,0.9455,2004,4,25,7,0
1087,1.3,984,3.9,707,71,73,1359,494,12.4,64.1,0.9209,2004,4,25,7,1
1088,1.0,931,3.6,689,63,73,1317,503,12.7,58.7,0.8605,2004,4,25,7,2
1089,1.3,966,4.5,737,141,96,1363,581,12.6,58.6,0.8529,2004,4,25,7,3
1090,1.5,777,1.2,521,23,33,1121,350,12.5,51.2,0.7374,2004,4,25,7,4
1091,0.3,763,0.7,471,14,20,1098,305,12.5,50.9,0.7346,2004,4,25,7,5
1092,0.5,804,1.1,505,34,37,1148,329,12.8,49.3,0.7285,2004,4,25,7,6
1093,0.6,830,1.4,535,42,50,1184,375,13.5,48.6,0.7487,2004,4,25,7,7
1094,0.6,833,1.6,553,40,45,1180,373,14.4,45.9,0.7476,2004,4,25,7,8
1095,0.8,875,2.3,603,48,48,1206,385,15.1,43.9,0.7487,2004,4,25,7,9
1096,1.0,882,2.5,621,61,56,1216,403,16.6,38.6,0.7236,2004,4,25,7,10
1097,0.9,862,2.7,635,58,58,1193,393,17.2,35.0,0.6789,2004,4,25,7,11
1098,1.0,863,2.7,636,57,52,1185,388,17.4,33.9,0.6683,2004,4,25,7,12
1099,0.8,830,2.2,596,54,52,1145,371,17.9,30.7,0.6234,2004,4,25,7,13
1100,0.7,807,2.0,584,41,44,1104,347,18.3,27.2,0.5675,2004,4,25,7,14
1101,0.9,873,3.4,675,57,59,1181,396,19.4,25.7,0.5738,2004,4,25,7,15
1102,1.3,931,4.5,739,83,74,1219,474,20.2,24.1,0.563,2004,4,25,7,16
1103,1.4,918,4.7,748,81,76,1219,505,19.6,24.9,0.5625,2004,4,25,7,17
1104,1.5,1001,6.0,811,98,83,1344,625,18.5,27.8,0.5843,2004,4,25,7,18
1105,2.7,1169,11.7,1039,124,100,1550,941,17.8,30.3,0.6129,2004,4,25,7,19
1106,2.5,1085,8.2,907,133,101,1419,893,16.6,34.0,0.6353,2004,4,25,7,20
1107,1.4,940,5.1,769,100,90,1310,731,15.5,37.0,0.6447,2004,4,25,7,21
1108,2.8,1126,13.0,1083,116,93,1654,955,14.8,39.5,0.6595,2004,4,25,7,22
1109,2.1,978,7.0,858,102,79,1379,761,14.5,42.0,0.6896,2004,4,25,7,23
1110,1.1,893,3.9,703,55,57,1283,515,14.1,44.9,0.7206,2004,4,26,1,0
1111,0.7,838,2.2,601,33,43,1220,434,14.2,45.5,0.7333,2004,4,26,1,1
1112,0.4,803,1.3,527,17,25,1152,369,14.1,45.3,0.7247,2004,4,26,1,2
1113,0.3,775,0.8,477,141,96,1115,335,14.0,44.3,0.7038,2004,4,26,1,3
1114,1.5,767,0.6,454,10,17,1091,319,14.1,43.0,0.689,2004,4,26,1,4
1115,0.4,809,1.2,521,35,44,1158,378,13.9,43.9,0.6923,2004,4,26,1,5
1116,0.8,898,3.4,676,70,72,1307,517,14.0,43.8,0.6959,2004,4,26,1,6
1117,1.9,1053,7.5,880,116,91,1464,786,14.4,43.6,0.7113,2004,4,26,1,7
1118,2.1,1033,8.9,934,134,89,1490,844,15.0,41.7,0.7093,2004,4,26,1,8
1119,1.4,941,5.3,780,113,84,1343,720,16.3,38.4,0.7052,2004,4,26,1,9
1120,1.4,941,5.4,782,110,83,1328,668,18.3,32.3,0.676,2004,4,26,1,10
1121,1.3,917,5.2,772,98,78,1311,605,18.8,31.7,0.6821,2004,4,26,1,11
1122,1.5,977,6.6,837,96,80,1413,646,19.6,30.9,0.6968,2004,4,26,1,12
1123,1.6,994,6.9,851,95,75,1436,640,20.2,30.7,0.7176,2004,4,26,1,13
1124,1.3,942,5.4,785,86,77,1365,571,19.7,32.5,0.7396,2004,4,26,1,14
1125,1.4,981,6.0,810,86,77,1395,605,20.7,31.6,0.7602,2004,4,26,1,15
1126,1.5,984,6.4,832,91,81,1410,636,20.0,32.7,0.7545,2004,4,26,1,16
1127,2.2,1116,10.7,1003,119,101,1625,886,18.6,35.4,0.7535,2004,4,26,1,17
1128,3.2,1181,13.9,1114,147,119,1685,1032,18.3,35.9,0.7501,2004,4,26,1,18
1129,3.0,1163,12.5,1068,135,111,1616,977,17.8,37.5,0.7568,2004,4,26,1,19
1130,2.6,1081,9.3,950,124,109,1496,924,17.3,38.8,0.7584,2004,4,26,1,20
1131,1.6,1017,6.7,842,89,101,1441,846,17.3,38.8,0.7596,2004,4,26,1,21
1132,1.5,966,5.3,778,79,89,1359,755,16.4,40.8,0.7542,2004,4,26,1,22
1133,1.2,924,4.0,709,63,75,1318,610,16.0,41.4,0.7487,2004,4,26,1,23
1134,0.8,861,2.2,601,39,51,1225,439,15.4,43.0,0.7482,2004,4,27,2,0
1135,0.7,826,1.7,560,25,39,1197,402,15.7,42.5,0.7539,2004,4,27,2,1
1136,0.5,846,1.6,557,19,32,1212,406,15.6,43.4,0.7651,2004,4,27,2,2
1137,0.5,842,1.5,545,141,96,1224,424,15.2,45.8,0.7864,2004,4,27,2,3
1138,1.5,909,2.5,617,34,49,1302,558,14.7,49.9,0.828,2004,4,27,2,4
1139,0.7,930,3.3,670,58,68,1339,746,15.5,47.3,0.8282,2004,4,27,2,5
1140,1.4,1120,8.9,935,112,76,1593,1126,14.4,53.1,0.8677,2004,4,27,2,6
1141,4.1,1518,23.4,1389,314,122,2101,1703,15.9,48.5,0.8704,2004,4,27,2,7
1142,4.6,1461,23.8,1398,240,129,2050,1628,18.1,40.3,0.8294,2004,4,27,2,8
1143,1.9,1075,7.9,896,128,94,1487,936,19.6,35.9,0.81,2004,4,27,2,9
1144,1.9,1061,8.2,908,141,99,1455,890,22.8,29.1,0.796,2004,4,27,2,10
1145,1.7,1066,8.8,931,118,81,1474,757,24.8,25.3,0.7793,2004,4,27,2,11
1146,2.4,1179,14.6,1137,132,87,1651,949,27.2,22.0,0.7785,2004,4,27,2,12
1147,3.0,1251,18.0,1238,150,107,1779,1109,28.2,20.4,0.7677,2004,4,27,2,13
1148,2.0,1120,12.0,1048,121,95,1560,870,25.4,24.2,0.7733,2004,4,27,2,14
1149,2.7,1187,14.8,1142,149,110,1651,1011,25.7,23.8,0.7737,2004,4,27,2,15
1150,2.2,1145,12.5,1066,120,99,1592,885,27.2,22.1,0.7811,2004,4,27,2,16
1151,2.9,1215,15.5,1164,155,113,1689,1015,27.0,22.3,0.786,2004,4,27,2,17
1152,3.4,1317,17.7,1231,172,127,1798,1155,24.5,27.8,0.8433,2004,4,27,2,18
1153,3.9,1388,21.6,1341,177,131,1955,1315,23.7,30.2,0.8718,2004,4,27,2,19
1154,3.6,1295,18.9,1266,181,137,1849,1359,21.5,34.5,0.8746,2004,4,27,2,20
1155,2.5,1153,12.5,1066,135,122,1651,1194,19.9,37.8,0.8675,2004,4,27,2,21
1156,1.8,1078,8.8,932,99,100,1511,951,18.9,40.6,0.8771,2004,4,27,2,22
1157,2.0,1133,10.9,1012,111,108,1608,1054,17.9,43.5,0.884,2004,4,27,2,23
1158,1.3,1055,8.0,899,72,83,1504,980,17.4,46.3,0.9112,2004,4,28,3,0
1159,1.0,953,4.4,735,54,74,1396,898,18.1,44.7,0.9186,2004,4,28,3,1
1160,0.6,892,2.8,639,41,64,1359,803,16.5,50.1,0.9331,2004,4,28,3,2
1161,0.6,895,2.7,632,141,96,1347,684,14.2,56.9,0.9141,2004,4,28,3,3
1162,1.5,859,2.2,602,24,40,1321,644,14.7,56.2,0.9341,2004,4,28,3,4
1163,0.5,856,2.5,619,29,39,1345,677,16.3,52.8,0.9722,2004,4,28,3,5
1164,1.1,1030,7.5,880,76,69,1539,996,13.9,60.7,0.9597,2004,4,28,3,6
1166,4.2,1486,22.0,1351,274,100,2112,1692,16.1,54.8,0.996,2004,4,28,3,8
1167,4.6,1592,24.7,1423,322,146,2155,2108,19.3,46.4,1.0248,2004,4,28,3,9
1168,3.4,1469,18.4,1252,255,155,1903,1807,24.2,33.8,1.0097,2004,4,28,3,10
1169,2.8,1364,16.8,1205,196,139,1850,1566,26.7,28.7,0.9895,2004,4,28,3,11
1170,2.5,1285,14.2,1123,136,121,1741,1293,27.4,28.2,1.0098,2004,4,28,3,12
1171,2.4,1311,15.7,1170,119,108,1787,1219,28.1,26.9,1.0094,2004,4,28,3,13
1172,3.2,1416,21.9,1348,169,126,1969,1330,27.7,26.5,0.9693,2004,4,28,3,14
1173,3.5,1387,20.8,1318,197,145,1890,1299,28.4,23.4,0.8935,2004,4,28,3,15
1174,2.9,1329,16.2,1185,140,121,1750,1111,28.4,26.0,0.9922,2004,4,28,3,16
1175,3.6,1496,19.8,1292,178,145,1878,1300,27.3,30.0,1.0752,2004,4,28,3,17
1176,4.8,1676,28.9,1525,223,160,2226,1653,24.3,37.3,1.1199,2004,4,28,3,18
1177,5.4,1724,28.3,1510,222,155,2252,1716,23.1,42.2,1.1746,2004,4,28,3,19
1178,5.3,1642,24.9,1426,265,162,2117,1720,21.8,43.6,1.1226,2004,4,28,3,20
1179,2.7,1267,13.1,1088,151,129,1740,1339,19.8,46.8,1.0702,2004,4,28,3,21
1180,1.4,1146,8.6,923,79,96,1575,1166,19.6,49.8,1.1221,2004,4,28,3,22
1181,1.6,1216,9.5,960,87,92,1662,1256,17.9,56.2,1.142,2004,4,28,3,23
1182,1.5,1128,7.8,891,88,89,1574,1125,17.4,55.6,1.0963,2004,4,29,4,0
1183,1.0,1042,5.2,772,51,61,1495,968,16.8,59.5,1.1269,2004,4,29,4,1
1184,0.6,926,2.8,639,34,54,1409,814,15.9,60.1,1.0806,2004,4,29,4,2
1185,0.4,898,2.3,608,141,96,1386,743,15.6,61.2,1.0784,2004,4,29,4,3
1186,1.5,889,2.5,617,31,44,1382,758,14.6,63.4,1.0446,2004,4,29,4,4
1187,0.8,959,4.4,734,76,57,1470,861,13.3,67.0,1.0203,2004,4,29,4,5
1188,1.5,1097,9.4,956,139,68,1620,1047,12.9,66.5,0.9846,2004,4,29,4,6
1191,3.5,1408,18.0,1241,250,135,1886,1711,18.6,47.8,1.0143,2004,4,29,4,9
1192,2.1,1156,10.9,1009,145,118,1583,1204,23.8,30.2,0.8771,2004,4,29,4,10
1193,1.5,1042,9.0,941,110,91,1491,871,25.4,25.0,0.7966,2004,4,29,4,11
1194,2.0,1167,14.4,1128,104,89,1716,1040,25.6,25.5,0.8234,2004,4,29,4,12
1195,3.8,1398,22.3,1360,205,129,2037,1439,24.9,29.9,0.9325,2004,4,29,4,13
1196,3.4,1458,20.9,1321,201,122,2023,1516,22.4,37.9,1.016,2004,4,29,4,14
1197,4.4,1554,23.1,1379,266,138,2151,1693,21.7,44.0,1.1242,2004,4,29,4,15
1198,3.9,1495,21.2,1331,246,136,2069,1635,21.4,44.4,1.1176,2004,4,29,4,16
1199,4.9,1560,24.8,1424,247,143,2176,1688,20.8,45.3,1.1016,2004,4,29,4,17
1200,5.4,1664,28.6,1519,271,145,2312,1820,20.2,48.6,1.1354,2004,4,29,4,18
1201,6.5,1761,32.6,1610,332,146,2488,2006,20.2,50.8,1.1924,2004,4,29,4,19
1202,4.3,1524,19.2,1275,245,122,2046,1740,18.6,57.6,1.2233,2004,4,29,4,20
1203,2.9,1398,16.3,1189,180,112,1931,1577,18.2,58.8,1.2173,2004,4,29,4,21
1204,2.7,1342,13.7,1106,156,102,1856,1443,17.8,61.0,1.2352,2004,4,29,4,22
1205,2.8,1433,13.6,1104,172,97,1876,1411,17.0,70.7,1.3554,2004,4,29,4,23
1206,2.3,1297,11.1,1019,137,85,1823,1217,16.2,76.9,1.4051,2004,4,30,5,0
1207,1.7,1179,7.6,884,91,76,1696,1086,15.7,78.6,1.3943,2004,4,30,5,1
1208,1.2,1097,5.9,809,80,74,1628,1050,15.7,78.4,1.3917,2004,4,30,5,2
1209,1.0,1054,5.0,761,141,96,1598,965,15.7,77.4,1.3683,2004,4,30,5,3
1210,1.5,1017,4.0,711,46,56,1554,906,15.4,78.5,1.3635,2004,4,30,5,4
1211,0.8,1005,4.5,738,68,66,1563,917,15.7,74.7,1.3194,2004,4,30,5,5
1212,1.7,1206,9.3,949,162,90,1771,1116,15.9,73.1,1.3136,2004,4,30,5,6
1213,3.0,1458,18.3,1249,213,111,2033,1380,16.6,68.2,1.2737,2004,4,30,5,7
1214,3.4,1405,19.9,1295,161,103,2065,1378,18.7,57.6,1.2323,2004,4,30,5,8
1215,3.3,1381,16.6,1199,209,117,1970,1365,17.6,65.0,1.2945,2004,4,30,5,9
1216,2.7,1315,12.6,1072,191,116,1833,1273,16.3,73.2,1.3458,2004,4,30,5,10
1217,2.6,1332,12.9,1082,215,109,1889,1242,16.0,78.5,1.4209,2004,4,30,5,11
1218,3.2,1362,14.9,1145,212,116,1973,1294,17.3,72.4,1.4125,2004,4,30,5,12
1219,3.4,1399,17.4,1222,202,115,2061,1413,19.4,60.9,1.3545,2004,4,30,5,13
1220,2.6,1310,15.4,1160,153,94,1939,1224,21.4,50.9,1.2823,2004,4,30,5,14
1221,3.4,1399,16.7,1201,185,121,1971,1318,22.7,45.8,1.2465,2004,4,30,5,15
1222,4.0,1524,18.0,1239,210,114,2139,1404,20.9,60.8,1.4852,2004,4,30,5,16
1223,4.5,1487,19.2,1274,215,110,2133,1471,21.0,54.3,1.3353,2004,4,30,5,17
1224,4.2,1480,21.0,1324,215,122,2162,1623,20.8,54.4,1.3194,2004,4,30,5,18
1225,5.7,1626,26.9,1476,281,135,2356,1786,19.8,58.6,1.3392,2004,4,30,5,19
1226,4.4,1449,19.5,1282,254,133,2100,1569,19.1,61.1,1.3345,2004,4,30,5,20
1227,3.1,1363,15.1,1152,189,110,1951,1495,18.2,65.4,1.3529,2004,4,30,5,21
1228,3.0,1371,14.6,1136,174,102,1927,1471,18.1,66.1,1.3579,2004,4,30,5,22
1229,3.1,1406,13.7,1107,167,108,1872,1384,17.7,66.9,1.3422,2004,4,30,5,23
1230,3.5,1425,15.2,1155,185,110,1936,1789,17.8,66.8,1.346,2004,5,1,6,0
1231,2.4,1179,9.3,951,129,84,1724,1323,17.3,68.3,1.3346,2004,5,1,6,1
1232,1.6,1047,6.5,833,85,71,1647,1081,16.5,70.2,1.3099,2004,5,1,6,2
1233,1.3,1009,6.3,825,141,96,1629,938,15.7,73.1,1.2902,2004,5,1,6,3
1234,1.5,882,3.5,685,35,42,1492,673,16.2,69.9,1.2756,2004,5,1,6,4
1235,0.6,858,2.6,624,24,32,1434,543,16.7,67.1,1.2619,2004,5,1,6,5
1236,0.7,875,3.1,659,30,35,1452,561,16.7,66.9,1.2631,2004,5,1,6,6
1237,1.2,1012,6.5,833,75,67,1632,862,16.9,66.5,1.2688,2004,5,1,6,7
1238,1.5,1049,6.5,836,79,73,1615,901,17.7,62.0,1.2458,2004,5,1,6,8
1239,1.8,1131,8.8,932,104,86,1693,1048,19.4,54.6,1.2184,2004,5,1,6,9
1240,2.1,1120,8.8,931,118,89,1652,971,21.6,46.1,1.1725,2004,5,1,6,10
1241,1.9,1117,9.2,946,105,86,1657,915,24.6,36.7,1.1202,2004,5,1,6,11
1242,2.0,1110,9.2,948,101,86,1632,891,26.0,31.9,1.0566,2004,5,1,6,12
1243,1.3,962,6.1,816,65,66,1489,628,25.6,31.5,1.0184,2004,5,1,6,13
1244,1.3,963,6.5,835,59,68,1495,556,24.8,34.8,1.0716,2004,5,1,6,14
1245,1.8,1050,9.2,948,80,82,1584,652,26.1,30.3,1.0101,2004,5,1,6,15
1246,2.0,1053,8.3,911,98,91,1603,683,25.5,33.5,1.0767,2004,5,1,6,16
1247,1.8,1045,8.3,910,89,95,1598,624,23.7,37.2,1.0746,2004,5,1,6,17
1248,2.4,1124,11.0,1013,114,104,1676,733,22.3,38.9,1.0324,2004,5,1,6,18
1249,4.0,1330,14.7,1140,195,131,1780,1062,20.7,42.8,1.0298,2004,5,1,6,19
1250,2.8,1171,10.8,1006,156,112,1674,988,19.0,51.7,1.1222,2004,5,1,6,20
1251,2.0,1085,9.4,954,109,100,1656,871,17.8,55.5,1.1174,2004,5,1,6,21
1252,3.6,1358,14.8,1144,184,115,1851,1243,17.4,57.6,1.1342,2004,5,1,6,22
1253,3.7,1385,13.3,1094,190,129,1769,1175,17.6,58.5,1.1645,2004,5,1,6,23
1254,2.3,1167,8.4,914,105,99,1599,1126,17.2,59.3,1.1551,2004,5,2,7,0
1255,1.8,1072,7.9,894,76,74,1646,1118,17.1,60.4,1.1633,2004,5,2,7,1
1256,0.9,938,5.5,789,38,55,1536,864,16.4,62.2,1.1507,2004,5,2,7,2
1257,1.6,1000,6.6,838,141,96,1580,942,14.8,67.6,1.1352,2004,5,2,7,3
1258,1.5,854,3.3,670,26,35,1460,684,14.8,65.8,1.1028,2004,5,2,7,4
1259,0.6,815,2.6,628,33,37,1426,689,14.7,65.2,1.0811,2004,5,2,7,5
1260,0.7,866,3.6,689,57,45,1456,767,13.1,70.2,1.0554,2004,5,2,7,6
1261,0.8,911,4.8,751,48,46,1518,817,14.3,66.2,1.0728,2004,5,2,7,7
1262,1.2,988,5.9,806,87,68,1568,940,16.0,61.6,1.1083,2004,5,2,7,8
1263,1.4,1046,6.9,851,94,77,1595,908,17.7,56.4,1.1342,2004,5,2,7,9
1264,1.6,1085,8.5,918,89,79,1639,871,21.3,44.7,1.1157,2004,5,2,7,10
1265,1.3,1008,6.1,816,78,72,1531,689,23.6,36.4,1.0431,2004,5,2,7,11
1266,1.3,1004,6.2,821,72,68,1510,629,24.3,34.0,1.0149,2004,5,2,7,12
1267,1.1,948,4.8,754,64,64,1436,602,24.4,32.7,0.9863,2004,5,2,7,13
1268,1.2,1026,6.8,847,70,73,1519,617,24.6,31.7,0.9647,2004,5,2,7,14
1269,1.5,1047,7.0,859,92,84,1538,677,23.9,34.3,1.002,2004,5,2,7,15
1270,1.1,1018,5.5,790,69,67,1443,580,25.9,28.1,0.9258,2004,5,2,7,16
1271,1.9,1160,9.5,957,131,106,1637,861,24.5,32.3,0.9815,2004,5,2,7,17
1272,2.3,1269,11.9,1047,144,114,1721,1080,22.6,39.3,1.06,2004,5,2,7,18
1273,3.3,1394,13.8,1111,209,123,1853,1288,21.2,47.5,1.1828,2004,5,2,7,19
1274,2.6,1292,10.7,1003,170,108,1753,1163,19.9,54.9,1.2632,2004,5,2,7,20
1275,2.2,1212,9.7,966,152,100,1691,1043,19.4,52.1,1.1642,2004,5,2,7,21
1276,2.3,1137,10.2,985,171,118,1607,1045,19.4,42.6,0.9485,2004,5,2,7,22
1277,2.0,1080,8.3,910,153,121,1548,929,19.1,44.1,0.966,2004,5,2,7,23
1278,1.6,1031,7.1,861,97,94,1534,825,18.0,49.3,1.0086,2004,5,3,1,0
1279,0.8,917,3.0,654,37,52,1414,545,17.6,54.6,1.0918,2004,5,3,1,1
1280,0.6,888,2.2,598,26,39,1397,500,16.4,62.1,1.1493,2004,5,3,1,2
1281,0.4,872,1.7,564,141,96,1385,494,15.6,65.3,1.1484,2004,5,3,1,3
1282,1.5,876,1.5,547,25,33,1351,505,16.0,61.4,1.1043,2004,5,3,1,4
1283,0.7,964,3.7,697,61,57,1516,717,15.8,64.3,1.1416,2004,5,3,1,5
1284,1.3,1147,8.2,906,152,80,1687,1126,16.0,65.8,1.1844,2004,5,3,1,6
1285,3.4,1493,21.1,1328,283,101,2193,1597,16.8,62.5,1.1869,2004,5,3,1,7
1287,3.4,1483,17.4,1222,318,109,2054,1529,17.4,68.9,1.3557,2004,5,3,1,9
1288,2.5,1222,12.9,1080,201,111,1755,1366,21.4,45.0,1.1291,2004,5,3,1,10
1289,2.0,1060,10.9,1010,135,102,1623,1074,23.9,30.7,0.9002,2004,5,3,1,11
1290,1.9,1048,11.0,1013,127,96,1584,940,26.8,25.2,0.8721,2004,5,3,1,12
1291,1.7,1051,10.8,1008,102,90,1561,921,28.4,23.6,0.8983,2004,5,3,1,13
1292,1.4,998,10.0,977,74,69,1496,695,30.3,20.1,0.8539,2004,5,3,1,14
1293,1.5,1058,11.2,1023,81,74,1580,795,30.9,19.7,0.8649,2004,5,3,1,15
1294,2.4,1203,16.8,1204,129,102,1744,1079,30.2,20.5,0.8672,2004,5,3,1,16
1295,3.9,1491,23.6,1392,190,128,2149,1473,26.4,34.6,1.1724,2004,5,3,1,17
1296,4.2,1467,23.3,1385,192,130,2084,1493,24.9,39.4,1.2268,2004,5,3,1,18
1297,3.7,1407,19.4,1279,163,120,2009,1308,23.5,43.7,1.2484,2004,5,3,1,19
1298,3.2,1324,13.1,1086,149,113,1903,1189,19.3,63.1,1.4028,2004,5,3,1,20
1299,2.0,1214,9.8,970,119,100,1771,1076,18.7,64.6,1.3836,2004,5,3,1,21
1300,1.1,1016,5.3,780,61,70,1566,806,19.5,57.1,1.2806,2004,5,3,1,22
1301,1.5,1135,6.7,842,84,83,1653,973,18.9,62.5,1.3521,2004,5,3,1,23
1302,1.3,1065,5.5,789,79,81,1620,929,18.4,65.8,1.3802,2004,5,4,2,0
1303,1.0,999,3.7,692,58,69,1588,778,16.4,79.2,1.4681,2004,5,4,2,1
1304,0.6,911,2.2,599,32,48,1517,633,16.1,80.0,1.4562,2004,5,4,2,2
1305,0.4,873,1.5,545,141,96,1471,497,15.6,81.0,1.4302,2004,5,4,2,3
1306,1.5,881,1.5,546,21,28,1465,458,15.6,81.0,1.4216,2004,5,4,2,4
1307,0.6,967,2.9,646,49,47,1552,579,15.7,80.5,1.4236,2004,5,4,2,5
1308,1.9,1280,9.9,976,180,88,1912,1003,16.0,80.8,1.4602,2004,5,4,2,6
1311,3.2,1309,16.2,1186,192,104,1973,1308,17.7,70.8,1.4171,2004,5,4,2,9
1312,1.3,1035,7.9,895,84,65,1657,863,20.3,54.8,1.2867,2004,5,4,2,10
1313,2.2,1148,12.4,1062,128,87,1825,1004,21.2,49.3,1.2271,2004,5,4,2,11
1314,2.6,1152,13.6,1104,145,99,1860,1023,21.5,47.9,1.2178,2004,5,4,2,12
1315,2.3,1131,12.3,1059,132,100,1784,978,21.4,47.7,1.2047,2004,5,4,2,13
1316,2.4,1142,12.1,1053,136,105,1814,979,20.4,54.0,1.2757,2004,5,4,2,14
1317,2.6,1197,12.9,1082,140,97,1851,971,19.9,57.1,1.3158,2004,5,4,2,15
1318,1.2,960,6.3,828,55,54,1565,617,19.9,55.2,1.2701,2004,5,4,2,16
1319,1.6,1077,10.6,1001,67,59,1764,717,19.5,55.7,1.2512,2004,5,4,2,17
1320,3.9,1377,20.6,1313,191,109,2120,1220,18.3,62.8,1.3127,2004,5,4,2,18
1321,4.7,1405,22.1,1353,227,125,2185,1296,17.2,68.3,1.3289,2004,5,4,2,19
1322,5.4,1484,20.8,1319,264,132,2166,1413,16.1,75.2,1.3654,2004,5,4,2,20
1323,3.0,1187,11.8,1042,196,110,1840,1093,16.6,70.8,1.3253,2004,5,4,2,21
1324,0.9,870,4.3,729,43,53,1475,586,18.5,56.0,1.181,2004,5,4,2,22
1325,1.1,932,5.0,765,58,61,1543,575,17.3,59.5,1.1667,2004,5,4,2,23
1326,0.7,830,2.3,608,33,41,1370,441,18.6,52.3,1.1121,2004,5,5,3,0
1327,0.5,778,1.4,534,14,22,1294,358,19.0,49.8,1.0831,2004,5,5,3,1
1328,0.5,820,1.5,541,18,28,1360,377,15.7,64.5,1.14,2004,5,5,3,2
1329,0.5,842,1.8,565,141,96,1399,437,15.5,66.9,1.1691,2004,5,5,3,3
1330,1.5,867,2.1,589,28,41,1439,468,14.7,74.1,1.2302,2004,5,5,3,4
1331,0.8,927,3.5,682,56,54,1526,580,14.6,77.1,1.2727,2004,5,5,3,5
1332,1.3,1060,6.9,851,108,81,1673,805,14.5,78.3,1.2851,2004,5,5,3,6
